"created_at","text","favorite_count","retweet_count","retweet_like_ratio","retweet_x_like"
2021-08-31 22:21:51,"Some incredible work coming out of the community. 
@187JDR for this half-dragon sketch 
<U+0001F525><U+0001F432>
(the emojis need more dragon color diversity) https://t.co/pfJw1rblDr",29,8,0.275862068965517,270
2021-08-30 22:48:10,"<U+0001F6A8>Hero comp!<U+0001F6A8>

1<U+20E3>follow @Ethermorelore 
2<U+20E3>Post below your main hero
3<U+20E3> tell us what types of choices they are making in game + their current moral compass alignment.
4<U+20E3>retweet this thread.

We will select a random winner and create a 3D model and mini of their main hero.

Yes.",55,39,0.709090909090909,2240
2021-08-30 01:08:47,"Welcome adventurer!
@StaniKulechov has the broom out <U+0001F9F9> 

watch the crumbs around your feet a the tavern https://t.co/maFAWn362E",55,4,0.0727272727272727,280
2021-08-29 23:35:01,"Crypto Twitter:
What are the gold standards for calculating Co2 emissions on a wallet/contract. We very much want to set some ESG standards and responsibilities here.

https://t.co/C23QBIQ9lh seems used but has anyone dived into the github behind the scenes here?",2,0,0,3
2021-08-29 23:09:32,"we like the @lootproject 
nice @dhof <U+0001F914> https://t.co/ofT7z2livb",27,1,0.037037037037037,56
2021-08-29 20:39:55,"HERO WATCH: <U+0001F440><U+0001F48E>
For those that know Ethermore, Help find someone a Hero:

Ethermore has subtle, discrete value past their looks and their rarity rankings like narrative rarity or potential.
 
Find a Buy and Explain Why <U+0001F447>",35,8,0.228571428571429,324
2021-08-29 03:00:04,"New quest in the Quest portal!<U+0001F9ED>
Our first community submitted quest!

Please enjoy 'Feather' <U+0001FAB6>

try to play on desktop / fullscreen to access all available options!

https://t.co/TWGLsu64H9",27,5,0.185185185185185,168
2021-08-28 22:42:50,"1/<U+0001F9F5> A peek behind the screen of a quality project:

A lesson on how to follow your values and design with purpose.",111,31,0.279279279279279,3584
2021-08-27 22:01:51,"GM heroes. 

The lore and story are written by those that remain after the dust settles.",36,3,0.0833333333333333,148
2021-08-27 07:55:03,"To all the OG Ethermore backers that hung in there with us when there was a lot of shiny stuff flying around, we enjoy this milestone with you. <U+0001F37B>

But from here...
The story is just beginning....<U+0001F440><U+0001F92B><U+0001F525>",105,11,0.104761904761905,1272
2021-08-27 07:51:44,"Every zero can be a hero. https://t.co/2eGYfrBI4k",18,0,0,19
2021-08-27 02:41:50,"You crazy heroes broke our servers. Upgrades in the works. 
Until then, jump in the tavern grab an ale and chill after a long days work",60,9,0.15,610
2021-08-27 02:33:58,"PSA: We hope to get the Ethermore collection verified very soon.

Until then, please be sure you are accessing this page on OpenSea for any secondary sales: https://t.co/QTAzvurHhr",56,8,0.142857142857143,513
2021-08-27 00:17:25,"so we sold out. today was crazy.",322,44,0.136645962732919,14535
2021-08-26 23:40:50,"will will debrief after the storm. has been a crazy day.",60,4,0.0666666666666667,305
2021-08-26 22:46:45,"So in the last hour we are burning more ETH than @AxieInfinity and @MetaMask ?

Guys... we have been out for months.. calm down!

Also, your welcome @ultrasoundmoney <U+0001F987><U+0001F50A> https://t.co/RErMZyB3bh",57,7,0.12280701754386,464
2021-08-26 21:39:23,"we are over 75% minted now. 
<U+0001F440><U+0001F525><U+0001F975>",98,10,0.102040816326531,1089
2021-08-26 21:30:42,"<U+0001F525><U+0001F48D>The last ring has been found!

And the second rarest character to boot!
This is a special hero, with green palate swampy aesthetics.

11536 is a the Greenback Gnome Ledgerscript Wizard Fane of The Swamp + Ring

99.99 and #2 rarity

https://t.co/CqCNuQO0Sz",19,2,0.105263157894737,60
2021-08-26 10:46:30,"<U+0001F6A8>The second last ring has been minted. <U+0001F48D><U+0001F92F><U+0001F929>

Now the FOMO begins on the last ring and last key

This burly fella is 11098
Silver Dwarf Beastcleave Barbarian from The Swamp + Ring

https://t.co/feZmLHg3hf",13,2,0.153846153846154,42
2021-08-26 03:11:37,"Whats more important to you?

<U+0001F9EE>Trait Rarity?
<U+0001F31F>Aesthetics?
<U+0001F977>Character?
<U+0001F60D>Speaks-to-me-ness / vibes? https://t.co/OCVzTAxKAm",19,1,0.0526315789473684,40
2021-08-26 02:29:48,"We need to do a Twitter space. They are cool.",22,0,0,23
2021-08-25 07:37:29,"It had to happen at some point... 

<U+0001F6A8>RARITY RANK #1<U+0001F6A8>

The rarest combination of traits in Ethermore is... a Lead Dwarf Slateshield Paladin, Council of The Library + Scroll.

What a character <U+0001F929>

(#2 and #3 yet to be minted.....<U+0001F61B>)

https://t.co/XQTJ2UPtns",26,5,0.192307692307692,162
2021-08-25 05:28:19,"Wondering what rare heroes traits are left to come in the minting?
Check it out here
<U+0001F9EE><U+0001F916><U+0001F3B2>

https://t.co/7lLhX5JS3W https://t.co/uErqMp9hpy",10,0,0,11
2021-08-25 05:25:48,"Also two more scrolls...
both elven. nice. 

https://t.co/1FHu7zAx3F
https://t.co/negy41lBZt",7,0,0,8
2021-08-25 05:20:09,"<U+0001F511>The second last key!

There is only one more left to mint now! <U+0001F3B2>

10696 is Sporepaw Halfling Toxinbolt Rogue from The Glade + Key
98.5 rarity score

https://t.co/P2u2eDCNdG",7,1,0.142857142857143,16
2021-08-25 02:11:36,"Also four more scrolls in the 9000s! <U+0001F4DC><U+0001F4DC><U+0001F4DC><U+0001F4DC>
We can't keep up with this minting momentum <U+0001F975>

https://t.co/dLGsG9wCVY
https://t.co/kk8jN84vB0
https://t.co/dkzgfE3sem
https://t.co/J4NsZ3Q06v",7,2,0.285714285714286,24
