"screen_name","user_id","follower_count"
"0xShaman09",1432771589502750720,37
"0xSHARQ",172746126,142
"0xShual",1334586569076903936,11985
"0xsine",945013660723773440,172
"0xSoap",1442833103010078720,22
"0xSulley",1417966138173050880,21
"0xSunshinekitty",48529832,165
"0xSurfer",1431449627597983744,284
"0xTacos",712594302342471680,330
"0xtane",1358824282999119872,52
"0xtenga",2519157188,438
"0xTerrestrial",1138442130274209792,172
"0xTimepunk",1300167895801040896,283
"0xToit",1001477520464719872,3727
"0xTopa",4701603501,169
"0xTrading",1355515893002985472,79
"0xUsamaro",2163779582,361
"0xvissy",1388865682230726656,16
"0xvvp",2299519770,7963
"0xWack",1390165530443722752,34
"0xwicz",1030183522303193088,209
"0xWizard206",1430821281906130944,53
"0xWolf_ETH",168777401,85
"0xxSB",1346979823529431040,41
"0xynski",31566100,185
"0xzetsu",1414017799211692032,127
"0xZoinzoin",1322169310492696576,0
"0xZoo",1358888221699158016,309
"100xBoyz",1172670362,168
"100xSitu",1389968775450177536,387
"1041363089_kaka",937671745623822336,17
"113XRP",2159601742,2722
"133h5704",1357963042164670464,163
"194Boredape",1394031611147063296,1738
"1990_snoopy",1372605740280602624,58
"1alcyone",1355574416474841088,61
"1CoinPool",2281746444,857
"1DLONE",1644588270,511
"1greatsword",30446347,411
"1personaNFT",612317461,409
"1st_44",3188517444,100
"1st1h13r",1314803652318593024,51
"1zz0x01",748264484045676544,439
"2_drews",1381504268105056256,103
"20171003signin",915222183512645632,123
"2022CenturyClub",1435082894133841920,750
"24x7",11738012,2406
"2kew4u",35177811,162
"2muchCrypto",1034169799650304000,32
"2x1q7f9",947893498128338944,662
"33_boogie",485193088,338
"3gcube",246805817,180
"3L3V3NTH",2976183585,35645
"3rgot",1336263874807468032,23
"3wizardscap",1420828816797278208,262
"3xe02248566",1356332666728161280,202
"3xhuman",2388017323,3902
"46Volt",500037022,623
"488_nm",1301128864513560576,39
"4thplacepins",915600014357008384,330
"50xMyLife",1379433460364808192,339
"51mson",3893261068,76
"52mzone",243542503,101
"5H5H5H5H3",1381171015930179584,9
"5qmGof8",1426620788371640320,39
"69DILDOBAGGINS",1309360533443735552,199
"777jswag777",779340319561310208,5
"7793Sajwal",2168706851,86
"7ommyZero",403042395,10753
"7osam_luffy",570568405,510
"8DEFInaut8",393516347,21
"92salvat",940950458994233344,326
"9dot999",30111343,561
"a_fungible",1375170322643697664,52
"A_Oestergaard",1213626596,5
"aa88_bsb",197070163,675
"aabMihlu",1045045609147891712,95
"aangnom",1376004780611489792,179
"aarctx",1399481504808378368,133
"aare_eth",1429955171065360384,204
"Aaron_Neuville",811692420874244096,34
"Aaronautt",1324344203145547776,38
"aaronhenshaw",15391158,1107
"aaronricketts_",75722823,9198
"AaronTerrill",290357625,478
"abearschmitt",723949762697789440,118
"abefromanprod",18707582,734
"AbhinavBheema",851065582610808832,164
"abitofacoin",45299438,119
"Aboundlessworld",16988220,4001
"abunchoffish",1354903476711559168,16
"accel_capital",1355781772068282368,2084
"ActualJimmy",2162386121,138
"Adam_Starcaster",140673829,1033
"adambreen",17057942,308
"adampatel23",3288802673,4643
"adamq_q",3335351,220
"AddressXception",3235751020,531
"AdenCSK",123753348,2440
"AdhaMart7",749438742,434
"Adi_T_ibA",818077797725900800,60
"adi0000001",2494127790,12
"ADOGMADROWNED",1720025688,2240
"adorcism1",1373888232518209536,374
"ADreamDawns",1435183589835034624,939
"Adriana87166058",1404750388964769792,0
"AdrianIngham1",1362002419765239808,0
"Adrianojsilv",956876374161141760,83
"adrianpdy",2860289112,434
"adrnsc",966069173985083392,65
"adrupsytov",1415815147143237632,54
"AdTerminal",2586869550,62
"AdubP_",893517435793358848,413
"AegisScuro",1364972179398537216,23
"aeonmig29",960854858281578496,167
"aespolon",87592690,2083
"aetherdreamer",1439408538334507008,25
"AethirWars",1418156957823799296,376
"Aftertilt",993545260138713088,79
"agapethrottle",1280223615569534976,322
"agustincit0x",2246710197,87
"AhakTertulianus",1403622921063452672,26
"AHazeRiot",362213114,126
"ahlekssxd",2911017705,150
"ahunnitup",1165335068753190912,16
"aiden393",1205643781862830080,2255
"aidweeum",92444768,204
"AirbenderCrypto",1428452240877101056,55
"aircrypt13",1391685254033805312,103
"Airhardt",32875306,224
"AJim108",890292566612115456,0
"AJMallion",111360843,1825
"akalawoo",27652312,184
"Akanotips",1664862794,310
"AkashaCoin",170605832,9053
"akethcheta",1011190173160259584,102
"AkhilKac",987769316090306560,16
"AkloCrypto",1367127257765072896,14
"akshaykant_",1900979881,109
"AkuRypto",1222612846154059776,3459
"al4in_exe",291972367,579
"Alamodefender1",1082563752145358848,37
"ALawrence1182",1387917971394162688,41
"Albromyle",2310932154,113
"AlcedoAtthis_3",1185136992239140864,102
"alcendrimar",1412116700888285184,52
"AlchemistEth",1134236141446684672,5054
"AlchemixOccultx",1388346274534023168,2279
"alec_barnard",3345280034,76
"AlecSole",73742216,409
"alemsah",6603142,313972
"Aleppo59",50510959,66
"alesandrome",18733968,309
"Alex25096727",1391889968797294592,10
"alexanderDude4",1106524890,205
"AlexandreNFT",949429135251709952,237
"AlexBrunicki",2834603915,2395
"alexgreencrypto",1223049644114169856,124
"AlexHoHoa1",1379101920405516288,376
"alexis709a",319536342,5
"AlexJoy07288997",1344016976088326144,22
"alexthehodler",865105235479416832,86
"AlexTong55",1099510326494556160,21
"alexzhan",168640292,813
"Alf201900",980848038045511680,346
"algoriddims",931894026923642880,412
"Ali66084310",1267270017705541632,11
"alicanuzunn",367132269,104
"AlihanKamis",1290966291713531904,79
"AlitaBitCrypto",759657096031809536,367
"all_early",1403642928828928000,164
"allincryptobr",944617272299094016,23
"allindefi",903496747,57
"allo05076251",1390327644684705792,21
"AlluringPeacock",772850604,119
"allyier",248633508,1778402
"alname_notare",1.366746985685e+18,23
"AloofSpectator",3053206007,56
"AlpahaandOmega",136759723,109
"Alpha697",2766917289,57
"alphasapien17",1018259851665858560,131
"AlphaTrader16",1258147336045252608,29
"AlRationale",1148628179642388480,71
"altcoin_guide",552952380,154
"altcoinvestor",2238407857,840
"alterbrel1",991391583529525248,107
"Alto_Gringo",936772924211712000,1284
"AltsMang",902265901625507840,8508
"AltsQ",999668593351675904,35598
"AlvinLGaming",1199329864798498816,349
"ALWAYS_DYOR",1354794547897905152,64
"alwi_ms",2273146327,50
"amb_upe",723077366218559488,2337
"AmbalinaLimarc",1095859960833961984,215
"Ambr506",1298467569544974336,8
"AmirNekooei",1430615746388795392,0
"ammerson11",1134303245206151168,105
"amolisi_",862999363,103
"Amos_sht",994451457670709248,125
"AmpAmbassador",1216422934153175040,865
"amphlux",847702399107989504,2225
"amrhfdz",636385221,87
"AMRSidewalk",1657621638,76
"amsamsams1232",1418561602559823872,0
"Amyanyyy1",1382917853553168384,35
"an_caideal",54076804,257
"Anachr0n1zm",893156768079118336,216
"anasighwan",2725111812,259
"AncientJuan7",1273103576466948096,50
"AnClint",3246143090,5723
"Anderso44321007",1384318508595617792,10
"AndFOMO",3083676305,143
"Andre66372168",913362948294303744,0
"andregraposo",2849984579,0
"andrewdgould",2698555194,924
"andrewhoydich",369823359,272
"andrewprzy",916013307114307584,318
"AndrewSteinwold",894317267273560064,36357
"andy8052",217534944,51354
"andylauisgreat",1442456757666660352,36
"andyvillajr",4718960653,743
"Aneehs56162475",1397891101701279744,14
"anewconceptof",991331006518087680,239
"AnFearAirgid",1272236557362253824,1084
"AngelFavris",3390202942,0
"AngeloPV86",2194356085,224
"angyts2",1398865971167698944,348
"anilj_",135453910,103
"anima000000",1373700236770570240,704
"AnnaKwok13",1228954451337068544,13
"AnnHann37764418",1384206357063102464,178
"anomalyartnfts",1431105483528675328,6753
"anonfungible",738997298546544640,629
"AnonymousDaubs",1427213208604102656,0
"Anorak_NFT",944947715590549504,12468
"anquetil",15840519,1413
"ansonmroberts",97076418,104
"anthbennett",474293643,155
"antifungible",1437523868328026112,30
"antinertia",3014388155,3494
"AntoineB612",2151715411,16
"anton_krasavin",572852831,37
"anton42069",4462499248,721
"antony_btc",2341266895,5742
"AntSavant",1425970571683110912,191
"Antyrusart",1298184598623588352,2745
"AnulToken",1290661025923190784,73
"AnxietyClass",1049745818243162112,40
"ape16z",1294600053777141760,111
"APe65237541",1370652906509135872,45
"Apeasaurus",1316648486545182720,56
"ApeBullish",1372120302700793856,171
"ApedinBAYC",1449970616338108416,13
"apelavin",19263229,96
"apelordeth",1403167220528607232,993
"ApelyShilling",1389962027305783296,686
"ApeOClock",1401346770458669056,3494
"Apeonacci",1386987610925453312,244
"AphroMeek",1390046640371912704,14
"aplayner",518870715,221
"ApolloDAO",1377000992617721856,23584
"AqPaq",508487889,8
"aqpoona",1177096405,30
"ArabicKeyboard3",1351389785580068864,72
"Aramoon13",1338004761329721344,11595
"Arcade_Seb",1177088546387255296,948
"archon_0x",26256206,7181
"Archviz1",925880653798928384,177
"Archy0_Crypto",1376849211044544512,81
"arcxmoney",1248422860676186112,9742
"areareare_d4m",952391922257035264,73
"arenner87",90174305,100
"AreUSeriouus",271026118,646
"arfNFT",1422711890405470208,554
"Ariel03146546",1279030059228168192,232
"Ariel53386228",1397509571233542144,10
"ArjunEasy1",1284133126466199552,13
"Ark99Dan",1318574080837128192,1101
"arkehtect",1433781453649707008,26
"arnimfb",1364190999765991424,9
"ArtAppreciative",902894317,4069
"artdogsgo2heavn",1299434830778699776,182
"artevagante",909019865050120192,157
"ArtificCZ",1367097717219086336,6011
"ArtInspector5",1303193597278208000,7908
"artsofsteen",1367130846306664448,648
"ASCIILOVE",1431263079388565504,345
"asjedh",844257452,140
"AStar78463921",1421929758179397632,18
"AstinosXII",1404369021596700672,0
"Astronode_",846005659,673
"AstroNotesX",426624267,300
"AstroXBT",858443219029422080,4071
"AswangNFT",1371163038674345984,3970
"AtaxiaNQ",42956557,1180
"AtDefi",1298689268978724864,202
"Athanae18858512",1294706449155842048,102
"AtlasOnChain",1381055500599582720,1234
"Atoxal1",943762742795751424,139
"AttackMotion1",2541815088,3403
"AudreyGaus",704592846,24
"augencore",1426217046556225536,52
"aumi211",264752112,34
"auntiecoin",1051691833,46
"AutonomyCapitaI",1364002020059971584,430
"Autoutouidiou",404894421,826
"avilches_eth",324442096,395
"avilescrypto",1399769938395635712,505
"avilio_91",2512540226,503
"AvillanR",1396764727317987328,1079
"Avstn21",1376979108656205824,933
"Awanees04751906",1387996787068203008,16
"aweida",93714220,1004
